"publication_series","publication_date","release_time","synopsis","contact_details","frequency","reason_for_change","publication_id","theme_id","publication_day_released","datestr","epoch"
"Programme for International Student Assessment (PISA): highlights from Scotland's results, Programme for International Student Assessment (PISA) 2022: highlights from Scotland's results","2023-12-05","09:30","The Programme for International Student Assessment (PISA) is an assessment of 15 year-olds' skills carried out under the auspices of the Organisation for Economic Co-operation and Development (OECD). The programme runs every three years across all OECD members and a variety of partner countries. Scotland has participated in all seven surveys since the first wave of testing in 2000.","Adam Naylor
tel. 01312447976
e-mail: adam.naylor@gov.scot
Keith.Dryburgh@gov.scot
tel. 01312445310
e-mail: keith.dryburgh@gov.scot","Trienially","Not applicable",3005,8000,True,"2023-12-05",1701734400000
"Achievement of Curriculum for Excellence (CfE) Levels, Achievement of Curriculum for Excellence (CfE) Levels 2022/23","2023-12-00","","Information on the achievement of CfE levels in literacy and numeracy in the broad general education.","Andrew White
tel. 0131 244 1689
e-mail: andrew.white@gov.scot","Annual","Not applicable",3005,8000,False,"2023-12-01",1701388800000
"College Statistics, College Statistics 2022-23","2024-02-00","","Provides an overview of the college sector, including full and part-time provision, analysis of subject areas and links to industry and equality groupings.","Stephen Riddell
tel. 0131 313 6685
e-mail: sriddell@sfc.ac.uk","Annual","Not applicable",3005,8000,False,"2024-02-01",1706745600000
"College Staffing Data, College staffing data 2022-23","2024-03-00","","This publication provides information on the staffing numbers in Scotland?s colleges, it provides data (both headcount and full-time equivalence) for staffing (teaching and non-teaching) including summary data on age profiles and some protective characteristics, and provides information for other national statistical publications.","Kenny Wilson
tel. 0131 313 6509
e-mail: kwilson@sfc.ac.uk","Annual","Not applicable",3005,8000,False,"2024-03-01",1709251200000
"Students eligible for funding, Students eligible for funding 2023-24","2024-06-00","","This bulletin contains information, at sector level, about the numbers of students eligible for funding at the higher education institutions funded by SFC. Students eligible for funding are those students whose places are supported through SFC's main allocations of funding.","Gordon Anderson
tel. 0131 313 6551
e-mail: ganderson@sfc.ac.uk","Annual","Not applicable",3005,8000,False,"2024-06-01",1717200000000
"Report on Widening Access, Report on Widening Access 2022-23","2024-07-00","","This publication contains information on widening access across the University and College sectors in Scotland, thereby supporting SFC?s strategy for widening access.","Stephen Riddell
tel. 0131 313 6685
e-mail: sriddell@sfc.ac.uk","Annual","Not applicable",3005,8000,False,"2024-07-01",1719792000000
"National Improvement Framework interactive Evidence Report, National Improvement Framework Interactive Evidence Report - October 2023","2023-10-05","09:30","The NIFIER brings together a range of information and data to drive improvement for children and young people in early learning and childcare settings, schools, and colleges across the whole of Scotland. The NIFIER reports on 11 key measures to assess progress, and a further 15 sub-measures that reflect the key stages of the learner journey and the breadth of issues that can impact on attainment.","Jill Morton
tel. 07917155112
e-mail: jill.morton@gov.scot","Quarterly","",3004,8000,True,"2023-10-05",1696464000000
"National Improvement Framework interactive Evidence Report, National Improvement Framework Interactive Evidence Report - December 2023","2023-12-00","","The NIFIER brings together a range of information and data to drive improvement for children and young people in early learning and childcare settings, schools, and colleges across the whole of Scotland. The NIFIER reports on 11 key measures to assess progress, and a further 15 sub-measures that reflect the key stages of the learner journey and the breadth of issues that can impact on attainment.","Jill Morton
tel. 07917155112
e-mail: jill.morton@gov.scot","Quarterly","Not applicable",3004,8000,False,"2023-12-01",1701388800000
"National Improvement Framework interactive Evidence Report, National Improvement Framework Interactive evidence Report - April 2024","2024-04-00","","The NIFIER brings together a range of information and data to drive improvement for children and young people in early learning and childcare settings, schools, and colleges across the whole of Scotland. The NIFIER reports on 11 key measures to assess progress, and a further 15 sub-measures that reflect the key stages of the learner journey and the breadth of issues that can impact on attainment.","Jill Morton
tel. 07917155112
e-mail: jill.morton@gov.scot","Quarterly","Not applicable",3004,8000,False,"2024-04-01",1711929600000
"School Information Dashboard, School Information Dashboard - Primary - December 2023","2023-12-00","","Updated school level information","Jill Morton
tel. 01312446436
e-mail: jill.morton@gov.scot
Jill Morton
tel. 01312446436
e-mail: jill.morton@gov.scot","Ad-hoc","Not applicable",3008,8000,False,"2023-12-01",1701388800000
"School Information Dashboard, School Information Dashboard - Secondary - December 2023","2023-12-00","","Updated school level information","Jill Morton
tel. 01312446436
e-mail: jill.morton@gov.scot
Jill Morton
tel. 01312446436
e-mail: jill.morton@gov.scot","Ad-hoc","Not applicable",3008,8000,False,"2023-12-01",1701388800000
"School Information Dashboard, School Information Dashboard - Special - December 2023","2023-12-00","","Updated school level information","Jill Morton
tel. 01312446436
e-mail: jill.morton@gov.scot
Jill Morton
tel. 01312446436
e-mail: jill.morton@gov.scot","Ad-hoc","Not applicable",3008,8000,False,"2023-12-01",1701388800000
"School Information Dashboard, School Information Dashboard - Primary - April 2024","2024-04-00","","Updated school level information","Jill Morton
tel. 01312446436
e-mail: jill.morton@gov.scot
Jill Morton
tel. 01312446436
e-mail: jill.morton@gov.scot","Ad-hoc","Not applicable",3008,8000,False,"2024-04-01",1711929600000
"School Information Dashboard, School Information Dashboard - Secondary - April 2024","2024-04-00","","Updated school level information","Jill Morton
tel. 01312446436
e-mail: jill.morton@gov.scot
Jill Morton
tel. 01312446436
e-mail: jill.morton@gov.scot","Ad-hoc","Not applicable",3008,8000,False,"2024-04-01",1711929600000
"School Information Dashboard, School Information Dashboard - Special - April 2024","2024-04-00","","Updated school level information","Jill Morton
tel. 01312446436
e-mail: jill.morton@gov.scot
Jill Morton
tel. 01312446436
e-mail: jill.morton@gov.scot","Ad-hoc","Not applicable",3008,8000,False,"2024-04-01",1711929600000
"Free Personal and Nursing Care, 2022-23","2023-09-05","09:30","Free Personal and Nursing Care was introduced by the Scottish Government in 2002 to people aged 65 and over. Information is included on amount spent on FPNC payments, and the number of people receiving the payments either in their own home or in Care Homes.","William Visick
e-mail: william.visick@gov.scot","Annual","Not applicable",3000,8004,True,"2023-09-05",1693872000000
"Scottish Health Survey: Annual Report, 2022","2023-11-00","","Annual report containing statistics on range of health behaviours and outcomes including: self-assessed health, mental health, dental health, alcohol, smoking, drugs, diet, physical activity, obesity and COVID-19.","Julie Landsberg
tel. 0131 244 2368
e-mail: julie.landsberg@gov.scot","Annual","Not applicable",3000,8004,False,"2023-11-01",1698796800000
"Health and Care Experience Survey, 2023/24","2024-05-00","","The Health & Care Experience Survey (successor to the GP and Local NHS Services Patient Experience Survey) asks about people's experiences of accessing and using their GP practice and Out of Hours services; aspects of care and support provided by local authorities and other organisations; and caring responsibilities and related support.","Euan Smith
tel. 0131 244 7552
e-mail: euan.smith@gov.scot","Biennial","Not applicable",3000,8004,False,"2024-05-01",1714521600000
"Suspected drug deaths in Scotland, April to June 2023","2023-09-12","09:30","Quarterly statistics from Police Scotland on suspected drug deaths. Also includes summary of, and links to, other drug death information from National Records of Scotland for wider context.","Rachael Sinclair
tel. 03002444000
e-mail: rachael.sinclair@gov.scot","Quarterly","Not applicable",3001,8004,True,"2023-09-12",1694476800000
"Alcohol and Drug Partnerships Annual Survey, 2021/22","2023-09-26","09:30","Analysis of responses to the Scottish Government's Alcohol and Drug Partnership (ADP) annual survey. The main aim of this report is to provide information on the activity undertaken by ADPs to evidence progress of the Scottish Government's National Mission on drugs.","Rachael Sinclair
tel. 03002444000
e-mail: rachael.sinclair@gov.scot","Annual","Not applicable",3005,8004,True,"2023-09-26",1695686400000
"Mental Health Inpatient Census, 2023","2024-01-16","09:30","Census of mental health, learning disability, addictions and HBCCC inpatients under the care of NHS Scotland, both within and outwith NHS Scotland.","MHIC@gov.scot
tel. 03002444000
e-mail: mhic@gov.scot","Annual","To move PRA out of parliamentary recess",3005,8004,True,"2024-01-16",1705363200000
"Eligibility & Waiting Times","2023-10-10","09:30","Survey of Local Authorities asking for information on Eligibility Criteria and Waiting Times for social care services. Information is included on numbers of new clients receiving a community care assessment, time intervals between first contact, assessment and service delivery.","Jan Young
e-mail: jan.young@gov.scot","Annual","Not applicable",3004,8004,True,"2023-10-10",1696896000000
"Probable Suicides , 2022","2023-09-05","09:30","Numbers of deaths in Scotland due to suicide","Julie Ramsay
tel. 0131 314 4330
e-mail: julie.ramsay@nrscotland.gov.uk","Annual","Not applicable",3000,8005,True,"2023-09-05",1693872000000
"Births registered weekly in Scotland, September 2023 (1)","2023-09-07","09:30","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,True,"2023-09-07",1694044800000
"Deaths registered weekly in Scotland, September 2023 (1)","2023-09-07","09:30","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,True,"2023-09-07",1694044800000
"Quarterly Births, deaths and other vital events, second quarter 2023","2023-09-12","09:30","Routine provisional data based on civil registrations. Final statistics will be published in June 2022.","Julie Ramsay
tel. 0131 314 4330
e-mail: julie.ramsay@nrscotland.gov.uk","Quarterly","Not applicable",3000,8005,True,"2023-09-12",1694476800000
"Births registered weekly in Scotland, September 2023 (2)","2023-09-14","09:30","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,True,"2023-09-14",1694649600000
"Deaths registered weekly in Scotland, September 2023 (2)","2023-09-14","09:30","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,True,"2023-09-14",1694649600000
"Alzheimer's disease and other dementia deaths, 2023","2023-09-19","09:30","Number of deaths in Scotland due to Alzheimer's and other dementias, or where these causes were involved.","Julie Ramsay
tel. 0131 314 4330
e-mail: julie.ramsay@nrscotland.gov.uk","Annual","Not applicable",3000,8005,True,"2023-09-19",1695081600000
"Births registered weekly in Scotland, September 2023 (3)","2023-09-21","09:30","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,True,"2023-09-21",1695254400000
"Deaths registered weekly in Scotland, September 2023 (3)","2023-09-21","09:30","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,True,"2023-09-21",1695254400000
"Life expectancy, 2020-2022","2023-09-26","09:30","Life expectancy estimates for Scotland, council areas and NHS Board areas. SIMD, urban/rural breakdowns and Scottish parliamentary constituencies.","Julie Ramsay
tel. 0131 314 4330
e-mail: julie.ramsay@nrscotland.gov.uk","Annual","Not applicable",3000,8005,True,"2023-09-26",1695686400000
"Births registered weekly in Scotland, September 2023 (4)","2023-09-28","09:30","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,True,"2023-09-28",1695859200000
"Deaths registered weekly in Scotland, September 2023 (4)","2023-09-28","09:30","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,True,"2023-09-28",1695859200000
"Monthly Births, Scotland, August 2023","2023-09-28","09:30","Routine provisional data on births by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,True,"2023-09-28",1695859200000
"Monthly mortality analysis, Scotland, August 2023","2023-09-28","09:30","Routine provisional data on deaths by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,True,"2023-09-28",1695859200000
"Births registered weekly in Scotland, October 2023 (1)","2023-10-05","09:30","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Finalised publication date added.",3000,8005,True,"2023-10-05",1696464000000
"Deaths registered weekly in Scotland, October 2023 (1)","2023-10-05","09:30","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Finalised publication date added.",3000,8005,True,"2023-10-05",1696464000000
"Births registered weekly in Scotland, October 2023 (2)","2023-10-12","09:30","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Finalised publication date added.",3000,8005,True,"2023-10-12",1697068800000
"Deaths registered weekly in Scotland, October 2023 (2)","2023-10-12","09:30","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Finalised publication date added.",3000,8005,True,"2023-10-12",1697068800000
"Births registered weekly in Scotland, October 2023 (3)","2023-10-19","09:30","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Finalised publication date added.",3000,8005,True,"2023-10-19",1697673600000
"Deaths registered weekly in Scotland, October 2023 (3)","2023-10-19","09:30","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Finalised publication date added.",3000,8005,True,"2023-10-19",1697673600000
"Births registered weekly in Scotland, October 2023 (4)","2023-10-26","09:30","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Finalised publication date added.",3000,8005,True,"2023-10-26",1698278400000
"Deaths registered weekly in Scotland, October 2023 (4)","2023-10-26","09:30","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Finalised publication date added.",3000,8005,True,"2023-10-26",1698278400000
"Monthly Births, Scotland, September 2023","2023-10-26","09:30","Routine provisional data on births by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Finalised publication date added.",3000,8005,True,"2023-10-26",1698278400000
"Monthly mortality analysis, Scotland, September 2023","2023-10-26","09:30","Routine provisional data on deaths by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Finalised publication date added.",3000,8005,True,"2023-10-26",1698278400000
"Births registered weekly in Scotland, November 2023 (1)","2023-11-00","","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-11-01",1698796800000
"Births registered weekly in Scotland, November 2023 (2)","2023-11-00","","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-11-01",1698796800000
"Births registered weekly in Scotland, November 2023 (3)","2023-11-00","","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-11-01",1698796800000
"Births registered weekly in Scotland, November 2023 (4)","2023-11-00","","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-11-01",1698796800000
"Births registered weekly in Scotland, November 2023 (5)","2023-11-00","","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-11-01",1698796800000
"Deaths registered weekly in Scotland, November 2023 (1)","2023-11-00","","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-11-01",1698796800000
"Deaths registered weekly in Scotland, November 2023 (2)","2023-11-00","","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-11-01",1698796800000
"Deaths registered weekly in Scotland, November 2023 (3)","2023-11-00","","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-11-01",1698796800000
"Deaths registered weekly in Scotland, November 2023 (4)","2023-11-00","","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-11-01",1698796800000
"Deaths registered weekly in Scotland, November 2023 (5)","2023-11-00","","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-11-01",1698796800000
"Monthly Births, Scotland, October 2023","2023-11-00","","Routine provisional data on births by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2023-11-01",1698796800000
"Monthly mortality analysis, Scotland, October 2023","2023-11-00","","Routine provisional data on deaths by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2023-11-01",1698796800000
"Births registered weekly in Scotland, December 2023 (1)","2023-12-00","","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-12-01",1701388800000
"Births registered weekly in Scotland, December 2023 (2)","2023-12-00","","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-12-01",1701388800000
"Births registered weekly in Scotland, December 2023 (3)","2023-12-00","","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-12-01",1701388800000
"Births registered weekly in Scotland, December 2023 (4)","2023-12-00","","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-12-01",1701388800000
"Births registered weekly in Scotland, December 2023 (5)","2023-12-00","","Routine provisional data on births by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-12-01",1701388800000
"Deaths registered weekly in Scotland, December 2023 (1)","2023-12-00","","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-12-01",1701388800000
"Deaths registered weekly in Scotland, December 2023 (2)","2023-12-00","","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-12-01",1701388800000
"Deaths registered weekly in Scotland, December 2023 (3)","2023-12-00","","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-12-01",1701388800000
"Deaths registered weekly in Scotland, December 2023 (4)","2023-12-00","","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-12-01",1701388800000
"Deaths registered weekly in Scotland, December 2023 (5)","2023-12-00","","Routine provisional data on deaths by week with possible revisions to previously published weekly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Weekly","Not applicable",3000,8005,False,"2023-12-01",1701388800000
"Monthly Births, Scotland, November 2023","2023-12-00","","Routine provisional data on births by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2023-12-01",1701388800000
"Monthly mortality analysis, Scotland, November 2023","2023-12-00","","Routine provisional data on deaths by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2023-12-01",1701388800000
"Monthly Births, Scotland, December 2023","2024-01-00","","Routine provisional data on births by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2024-01-01",1704067200000
"Monthly mortality analysis, Scotland, December 2023","2024-01-00","","Routine provisional data on deaths by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2024-01-01",1704067200000
"Monthly Births, Scotland, January 2024","2024-02-00","","Routine provisional data on births by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2024-02-01",1706745600000
"Monthly mortality analysis, Scotland, January 2024","2024-02-00","","Routine provisional data on deaths by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2024-02-01",1706745600000
"Monthly Births, Scotland, February 2024","2024-03-00","","Routine provisional data on births by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2024-03-01",1709251200000
"Monthly mortality analysis, Scotland, February 2024","2024-03-00","","Routine provisional data on deaths by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2024-03-01",1709251200000
"Monthly Births, Scotland, March 20232","2024-04-00","","Routine provisional data on births by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2024-04-01",1711929600000
"Monthly mortality analysis, Scotland, March 2024","2024-04-00","","Routine provisional data on deaths by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2024-04-01",1711929600000
"Monthly Births, Scotland, April 2024","2024-05-00","","Routine provisional data on births by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2024-05-01",1714521600000
"Monthly mortality analysis, Scotland, April 2024","2024-05-00","","Routine provisional data on deaths by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2024-05-01",1714521600000
"Monthly Births, Scotland, May 2024","2024-06-00","","Routine provisional data on births by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2024-06-01",1717200000000
"Monthly mortality analysis, Scotland, May 2024","2024-06-00","","Routine provisional data on deaths by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2024-06-01",1717200000000
"Monthly Births, Scotland, June 2024","2024-07-00","","Routine provisional data on births by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2024-07-01",1719792000000
"Monthly mortality analysis, Scotland, June 2024","2024-07-00","","Routine provisional data on deaths by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2024-07-01",1719792000000
"Monthly Births, Scotland, July 2024","2024-08-00","","Routine provisional data on births by month with possible revisions to previously published monthly data.","Julie Ramsay
e-mail: julie.ramsay@nrscotland.gov.uk","Monthly","Not applicable",3000,8005,False,"2024-08-01",1722470400000
